#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0FB35
#Date Time: 2023-10-04 22:15:25.487
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 3.84767 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/1000

#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: DC
#Offset: 100 mV
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: Triangle
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1.5 V
#Offset: 1.5 V
#Symmetry: 50 %
#Phase: 0 бу

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
0.001408109697325251,-0.01170633078512994,1.390352426160236,-1.170633078512994e-05
0.00140873969732525,-0.008020599369637609,1.390352426160236,-8.020599369637609e-06
0.001409369697325251,-0.008020599369637609,1.390352426160236,-8.020599369637609e-06
0.001409999697325251,-0.008020599369637609,1.382997888161278,-8.020599369637609e-06
0.001410629697325251,-0.004334867954145278,1.382997888161278,-4.334867954145277e-06
0.001411259697325251,-0.0006491365386529476,1.37564335016232,-6.491365386529476e-07
0.00141188969732525,-0.008020599369637609,1.37564335016232,-8.020599369637609e-06
0.001412519697325251,-0.008020599369637609,1.371966081162841,-8.020599369637609e-06
0.001413149697325251,-0.008020599369637609,1.364611543163883,-8.020599369637609e-06
0.00141377969732525,-0.008020599369637609,1.364611543163883,-8.020599369637609e-06
0.001414409697325251,-0.004334867954145278,1.360934274164404,-4.334867954145277e-06
0.001415039697325251,-0.008020599369637609,1.357257005164926,-8.020599369637609e-06
0.001415669697325251,-0.008020599369637609,1.353579736165446,-8.020599369637609e-06
0.001416299697325251,-0.008020599369637609,1.346225198166489,-8.020599369637609e-06
0.00141692969732525,-0.004334867954145278,1.34254792916701,-4.334867954145277e-06
0.001417559697325251,-0.004334867954145278,1.34254792916701,-4.334867954145277e-06
0.001418189697325251,-0.004334867954145278,1.346225198166489,-4.334867954145277e-06
